NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
164	ISOBUTYLENE	56,108 	132,8 	266,3 	417,9 	39,5 	239,0 	0,275 	0,190 	0,594 	293,0 	0,5 	3,8340 	6,698E-02 	-2,607E-05 	2,173E-09 	0,00 	0,00 	-4,04	13,88	15,7528 	2125,75 	-33,15 	290	190	50,832 	-4104,56 	-5,157 	2,460 	5286
165	N-BUTYRALDEHYDE	72,107 	176,8 	348,0 	524,0 	40,0 	278,0 	0,260 	0,352 	0,802 	293,0 	2,6 	3,3630 	8,257E-02 	-4,115E-05 	6,896E-09 	472,31 	233,42 	-49	-27,43	16,1668 	2839,09 	-50,15 	380	255	0,000 	0,00 	0,000 	0,000 	7530
166	ISOBUTYRALDEHYDE	72,107 	208,2 	337,0 	513,0 	41,0 	274,0 	0,270 	0,350 	0,789 	293,0 	0,0 	5,8430 	8,015E-02 	-4,913E-05 	1,521E-08 	464,06 	253,64 	-51,56	-29	15,9888 	2676,98 	-51,15 	370	247	0,000 	0,00 	0,000 	0,000 	7500
167	METHYL ETHYL KETONE	72,107 	186,5 	352,8 	535,6 	41,0 	267,0 	0,249 	0,329 	0,805 	293,0 	3,3 	2,6140 	8,501E-02 	-4,538E-05 	9,362E-09 	423,84 	231,67 	-56,97	-34,91	16,5986 	3150,42 	-36,65 	376	257	47,683 	-5328,22 	-4,426 	3,880 	7460
168	TETRAHYDROFURAN	72,107 	164,7 	339,1 	540,2 	51,2 	224,0 	0,259 	0,000 	0,889 	293,0 	1,7 	-4,5630 	1,233E-01 	-9,868E-05 	3,473E-08 	419,79 	244,46 	-44,03	0	16,1069 	2768,38 	-46,90 	370	270	0,000 	0,00 	0,000 	0,000 	7070
169	VINYL ETHYL ETHER	72,107 	157,9 	308,8 	475,0 	40,2 	260,0 	0,270 	0,000 	0,793 	293,0 	1,3 	4,1270 	7,729E-02 	-3,514E-05 	5,134E-09 	349,95 	189,02 	-33,5	0	15,8911 	2449,26 	-44,15 	340	225	0,000 	0,00 	0,000 	0,000 	6330
170	N-BUTYRIC ACID	88,107 	267,9 	436,4 	628,0 	52,0 	292,0 	0,295 	0,670 	0,958 	293,0 	1,5 	2,8040 	9,881E-02 	-5,804E-05 	1,321E-08 	640,42 	321,13 	-113,73	0	17,9240 	4130,93 	-70,55 	470	335	73,806 	-9015,33 	-7,651 	4,220 	10040
171	1,4 DIOXANE	88,107 	285,0 	374,5 	587,0 	51,4 	238,0 	0,254 	0,288 	1,033 	293,0 	0,4 	-12,7960 	1,430E-01 	-9,757E-05 	2,537E-08 	660,36 	308,77 	-75,3	-43,21	16,1327 	2966,88 	-62,15 	410	275	0,000 	0,00 	0,000 	0,000 	8690
172	ETHYL ACETATE	88,107 	189,6 	350,3 	523,2 	37,8 	286,0 	0,252 	0,363 	0,901 	293,0 	1,9 	1,7280 	9,725E-02 	-4,996E-05 	6,818E-09 	427,38 	235,94 	-105,86	-78,25	16,1516 	2790,50 	-57,15 	385	260	65,669 	-6394,77 	-6,965 	4,010 	7700
173	ISOBUTYRIC ACID	88,107 	227,2 	427,9 	609,0 	40,0 	292,0 	0,230 	0,610 	0,968 	293,0 	1,3 	2,3440 	1,115E-01 	-8,884E-05 	3,225E-08 	583,65 	311,24 	-115,66	0	16,7792 	3385,49 	-94,15 	465	330	82,657 	-9222,72 	-8,986 	5,150 	9830
174	METHYL PROPIONATE	88,107 	185,7 	353,0 	530,6 	39,5 	282,0 	0,256 	0,352 	0,915 	293,0 	1,7 	4,3480 	7,499E-02 	-2,234E-05 	-4,365E-09 	442,88 	238,39 	0	0	16,1693 	2804,06 	-58,92 	385	260	65,367 	-6419,79 	-6,915 	3,980 	7780
175	N-PROPYL FORMATE	88,107 	180,3 	353,7 	538,0 	40,1 	285,0 	0,259 	0,315 	0,911 	289,0 	1,9 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	452,97 	246,09 	0	0	15,7671 	2593,95 	-69,69 	360	280	63,318 	-6292,56 	-6,635 	4,010 	7760
176	1-CHLOROBUTANE	92,569 	150,1 	351,6 	542,0 	36,4 	312,0 	0,255 	0,218 	0,886 	293,0 	2,0 	-0,6240 	1,074E-01 	-7,014E-05 	1,930E-08 	783,72 	260,03 	-35,2	-9,27	15,9750 	2826,26 	-49,05 	385	255	0,000 	0,00 	0,000 	0,000 	7170
177	2-CHLOROBUTANE	92,569 	141,8 	341,4 	520,6 	39,0 	305,0 	0,280 	0,300 	0,873 	293,0 	2,1 	-0,8200 	1,089E-01 	-7,119E-05 	1,972E-08 	480,77 	237,30 	-38,6	-12,78	15,9907 	2753,43 	-47,15 	375	250	0,000 	0,00 	0,000 	0,000 	6980
178	TERT-BUTYL CHLORIDE	92,569 	247,8 	324,0 	507,0 	39,0 	295,0 	0,280 	0,190 	0,842 	293,0 	2,1 	-0,9390 	1,111E-01 	-6,893E-05 	1,880E-08 	543,41 	253,35 	-43,8	-15,32	15,8121 	2567,15 	-44,15 	360	235	0,000 	0,00 	0,000 	0,000 	6550
179	PYRROLIDINE	71,123 	0,0 	359,7 	568,6 	55,4 	249,0 	0,296 	0,000 	0,852 	295,0 	1,6 	-12,3080 	1,275E-01 	-7,738E-05 	1,798E-08 	0,00 	0,00 	-0,86	27,41	15,9444 	2717,03 	-67,90 	400	300	0,000 	0,00 	0,000 	0,000 	0
180	MORPHOLINE	87,122 	268,4 	401,4 	618,0 	54,0 	253,0 	0,270 	0,370 	1,000 	293,0 	1,5 	-10,2230 	1,287E-01 	-6,368E-05 	1,003E-08 	914,14 	332,75 	0	0	16,2364 	3171,35 	-71,15 	440	300	0,000 	0,00 	0,000 	0,000 	9000
181	N-BUTANE	58,124 	134,8 	272,7 	425,2 	37,5 	255,0 	0,274 	0,193 	0,579 	293,0 	0,0 	2,2660 	7,913E-02 	-2,647E-05 	-6,740E-10 	265,84 	160,20 	-30,15	-4,1	15,6782 	2154,90 	-34,42 	290	195	48,334 	-4065,57 	-4,781 	2,680 	5352
182	ISOBUTANE	58,124 	113,6 	261,3 	408,1 	36,0 	263,0 	0,283 	0,176 	0,557 	293,0 	0,1 	-0,3320 	9,189E-02 	-4,409E-05 	6,915E-09 	302,51 	170,20 	-32,15	-4,99	15,5381 	2032,73 	-33,15 	280	187	46,141 	-3771,21 	-4,509 	2,570 	5090
183	N-BUTANOL	74,123 	183,9 	390,9 	562,9 	43,6 	274,0 	0,259 	0,590 	0,810 	293,0 	1,8 	0,7800 	9,984E-02 	-5,354E-05 	1,119E-08 	984,54 	341,12 	-65,65	-36,04	17,2160 	3137,02 	-94,43 	404	288	0,000 	0,00 	0,000 	0,000 	10300
184	2-BUTANOL	74,123 	158,5 	372,7 	536,0 	41,4 	268,0 	0,252 	0,576 	0,807 	293,0 	1,7 	1,3740 	1,014E-01 	-5,561E-05 	1,140E-08 	1441,70 	331,50 	-69,94	-40,06	17,2102 	3026,03 	-86,65 	393	298	0,000 	0,00 	0,000 	0,000 	9750
185	ISOBUTANOL	74,123 	165,2 	381,0 	547,7 	42,4 	273,0 	0,257 	0,588 	0,802 	293,0 	1,7 	-1,8410 	1,120E-01 	-6,888E-05 	1,727E-08 	1199,10 	343,85 	-67,69	-39,99	16,8712 	2874,73 	-100,30 	388	293	0,000 	0,00 	0,000 	0,000 	10050
186	TERT-BUTANOL	74,123 	298,8 	355,6 	506,2 	39,2 	275,0 	0,259 	0,618 	0,787 	293,0 	1,7 	-11,6110 	1,713E-01 	-1,692E-04 	6,974E-08 	972,10 	363,38 	-74,67	-42,46	16,8548 	2658,29 	-95,50 	376	293	0,000 	0,00 	0,000 	0,000 	9330
187	ETHYL ETHER	74,123 	156,9 	307,7 	466,7 	35,9 	280,0 	0,262 	0,281 	0,713 	293,0 	1,3 	5,1170 	8,022E-02 	-2,473E-05 	-2,235E-09 	353,14 	190,58 	-60,28	-29,24	16,0828 	2511,29 	-41,95 	30	225	57,260 	-5105,90 	-3,945 	3,400 	6380
188	1,2-DIMETHOXYETHANE	90,123 	202,0 	358,6 	536,0 	38,2 	271,0 	0,235 	0,371 	0,867 	293,0 	0,0 	7,6990 	8,520E-02 	-3,190E-05 	6,000E-12 	0,00 	0,00 	0	0	16,0210 	2869,79 	-53,15 	393	262	0,000 	0,00 	0,000 	0,000 	7510
189	DIETHYLENE GLYCOL	106,122 	265,0 	519,0 	681,0 	6,0 	316,0 	0,260 	0,000 	1,116 	293,0 	0,0 	17,4500 	8,266E-02 	-3,506E-05 	4,410E-09 	1943,00 	385,24 	-136,5	0	17,0326 	4122,52 	-122,50 	560	402	0,000 	0,00 	0,000 	0,000 	13670
190	DIETHYL SULFIDE	90,180 	169,2 	365,3 	557,0 	39,1 	318,0 	0,272 	0,300 	0,837 	293,0 	1,6 	3,2470 	9,457E-02 	-4,251E-05 	6,327E-09 	407,59 	233,32 	-19,95	4,25	15,9531 	2896,27 	-54,49 	390	260	0,000 	0,00 	0,000 	0,000 	7590
191	DIETHYL DISULFIDE	122,244 	171,7 	427,2 	642,0 	0,0 	0,0 	0,000 	0,000 	0,998 	293,0 	2,0 	6,4240 	1,099E-01 	-6,472E-05 	1,426E-08 	0,00 	0,00 	-17,84	5,32	16,0607 	3421,57 	-64,19 	455	312	0,000 	0,00 	0,000 	0,000 	9010
192	N-BUTYL AMINE	73,139 	224,1 	350,6 	524,0 	41,0 	288,0 	0,270 	0,396 	0,739 	293,0 	1,3 	1,2130 	1,069E-01 	-5,749E-05 	1,815E-08 	472,06 	246,98 	-22	11,76	16,6085 	3012,70 	-48,96 	373	259	0,000 	0,00 	0,000 	0,000 	7670
193	ISOBUTYL AMINE	73,139 	188,0 	340,6 	516,0 	42,0 	284,0 	0,280 	0,000 	0,000 	0,0 	1,2 	2,2670 	1,038E-01 	-5,039E-05 	5,572E-09 	0,00 	0,00 	0	0	16,1419 	2704,16 	-56,15 	373	251	0,000 	0,00 	0,000 	0,000 	7400
194	DIETHYL AMINE	73,139 	223,4 	328,6 	496,6 	36,6 	301,0 	0,270 	0,299 	0,707 	293,0 	1,1 	0,4870 	1,058E-01 	-5,214E-05 	8,725E-09 	473,89 	229,29 	-17,3	17,23	16,0545 	2595,01 	-53,15 	350	242	64,890 	-5912,65 	-6,955 	3,730 	6650
195	PYRIDINE	79,102 	231,5 	388,5 	620,0 	55,6 	254,0 	0,277 	0,240 	0,983 	293,0 	2,3 	9,5040 	1,177E-01 	-8,498E-05 	2,399E-08 	618,50 	291,58 	33,5	45,46	16,0910 	3095,13 	-61,15 	425	285	0,000 	0,00 	0,000 	0,000 	8400
196	CYCLOPENTENE	68,119 	138,1 	317,4 	506,0 	0,0 	0,0 	0,000 	0,000 	0,772 	293,0 	0,9 	-9,9150 	1,106E-01 	-6,160E-05 	1,298E-08 	396,83 	218,66 	7,87	26,48	15,9356 	2583,07 	-39,87 	378	244	0,000 	0,00 	0,000 	0,000 	6450
197	1,2-PENTADIENE	68,119 	135,9 	318,0 	503,0 	40,2 	276,0 	0,269 	0,173 	0,693 	293,0 	0,0 	2,1080 	9,267E-02 	-5,446E-05 	1,253E-08 	0,00 	0,00 	34,8	50,29	15,9297 	2544,34 	-44,30 	340	250	0,000 	0,00 	0,000 	0,000 	6590
198	1-TRANS-3-PENTADIENE	68,119 	185,7 	315,2 	496,0 	39,4 	275,0 	0,266 	0,175 	0,676 	293,0 	0,7 	7,3300 	6,714E-02 	-1,603E-05 	-5,617E-09 	0,00 	0,00 	18,6	35,07	15,9182 	2541,69 	-41,43 	340	250	0,000 	0,00 	0,000 	0,000 	6460
199	1,4-PENTADIENE	68,119 	124,9 	299,1 	478,0 	37,4 	276,0 	0,263 	0,104 	0,661 	293,0 	0,4 	1,6710 	9,438E-02 	-5,670E-05 	1,337E-08 	0,00 	0,00 	25,2	40,69	15,7392 	2344,02 	-41,69 	320	240	0,000 	0,00 	0,000 	0,000 	6010
200	1-PENTYNE	68,119 	167,5 	313,3 	493,4 	40,0 	278,0 	0,275 	0,164 	0,690 	293,0 	0,9 	4,3150 	8,386E-02 	-4,570E-05 	9,787E-09 	0,00 	0,00 	34,5	50,25	16,0429 	2515,62 	-45,97 	335	230	0,000 	0,00 	0,000 	0,000 	0
201	2-METHYL-1,3-BUTADIENE	68,119 	127,2 	307,2 	484,0 	38,0 	276,0 	0,264 	0,164 	0,681 	293,0 	0,3 	-0,8150 	1,095E-01 	-7,971E-05 	2,389E-08 	328,49 	182,48 	18,1	34,86	15,8548 	2467,40 	-39,64 	330	250	0,000 	0,00 	0,000 	0,000 	6230
202	3-METHYL-1,2-BUTADIENE	68,119 	159,5 	314,0 	496,0 	40,6 	267,0 	0,266 	0,160 	0,686 	293,0 	0,0 	3,5080 	8,593E-02 	-4,719E-05 	1,018E-08 	0,00 	0,00 	31	47,47	15,9880 	2541,83 	-42,26 	335	250	0,000 	0,00 	0,000 	0,000 	6510
203	CYCLOPENTANONE	84,118 	222,5 	403,9 	626,0 	53,0 	268,0 	0,280 	0,350 	0,950 	293,0 	3,0 	-9,7070 	1,248E-01 	-7,462E-05 	1,703E-08 	574,71 	303,44 	-46,04	0	16,0897 	3193,92 	-66,15 	440	300	0,000 	0,00 	0,000 	0,000 	8740
204	ETHYL ACRYLATE	100,118 	201,0 	373,0 	552,0 	37,0 	320,0 	0,261 	0,400 	0,921 	293,0 	0,0 	4,0150 	8,813E-01 	-3,300E-05 	-1,369E-09 	438,04 	256,84 	0	0	16,0890 	2974,94 	-58,15 	409	274	0,000 	0,00 	0,000 	0,000 	7950
205	CYCLOPENTANE	70,135 	179,3 	322,4 	511,6 	44,5 	260,0 	0,276 	0,192 	0,745 	293,0 	0,0 	-12,8080 	1,296E-01 	-7,239E-05 	1,549E-08 	406,69 	231,67 	-18,46	9,23	15,8574 	2588,48 	-41,79 	345	230	0,000 	0,00 	0,000 	0,000 	6524
206	1-PENTENE	70,135 	107,9 	303,1 	464,7 	40,0 	300,0 	0,310 	0,245 	0,640 	293,0 	0,4 	-0,0320 	1,034E-01 	-5,534E-05 	1,118E-08 	305,25 	174,70 	-5	18,91	15,7646 	2405,96 	-39,63 	325	220	51,816 	-4694,26 	-5,202 	3,420 	6022
207	CIS-2-PENTENE	70,135 	121,8 	310,1 	476,0 	36,0 	300,0 	0,280 	0,240 	0,656 	293,0 	0,0 	-3,4140 	1,099E-01 	-6,068E-05 	1,303E-08 	305,31 	175,72 	-6,71	17,17	15,8251 	2459,05 	-42,56 	330	220	55,199 	-4985,30 	-5,668 	3,510 	6240
208	TRANS-2-PENTENE	70,135 	132,9 	309,5 	475,0 	36,1 	300,0 	0,280 	0,237 	0,649 	293,0 	0,0 	0,4650 	9,988E-02 	-5,201E-05 	1,052E-08 	349,33 	176,62 	-7,59	16,71	15,9011 	2495,97 	-40,18 	330	220	56,420 	-5028,79 	-5,853 	3,620 	6230
209	2-METHYL-1-BUTENE	70,135 	135,6 	304,3 	465,0 	34,0 	294,0 	0,262 	0,232 	0,650 	293,0 	0,5 	2,5250 	9,547E-02 	-4,648E-05 	7,915E-09 	369,27 	193,39 	-8,68	15,68	15,8260 	2426,42 	-40,36 	325	220	60,581 	-5160,84 	-6,474 	3,470 	6094
210	2-METHYL-2-BUTENE	70,135 	139,4 	311,7 	470,0 	34,0 	318,0 	0,280 	0,285 	0,662 	293,0 	0,0 	2,8190 	8,381E-02 	-2,667E-05 	-1,387E-09 	322,47 	180,43 	-10,17	14,26	15,9238 	2521,53 	-40,31 	335	226	55,255 	-5010,98 	-5,671 	3,710 	6287
211	3-METHYL-1-BUTENE	70,135 	104,7 	293,3 	450,0 	34,7 	300,0 	0,282 	0,209 	0,627 	293,0 	0,0 	5,1930 	9,290E-02 	-4,794E-05 	9,579E-09 	0,00 	0,00 	-6,92	17,87	15,7179 	2333,61 	-36,33 	315	210	0,000 	0,00 	0,000 	0,000 	5760
212	VALERALDEHYDE	86,134 	182,0 	376,0 	554,0 	35,0 	333,0 	0,260 	0,400 	0,810 	293,0 	2,6 	3,4010 	1,034E-01 	-5,033E-05 	7,553E-09 	521,30 	252,03 	-54,45	-25,88	16,1623 	3030,20 	-58,15 	412	277	0,000 	0,00 	0,000 	0,000 	8040
213	METHYL N-PROPYL KETONE	86,134 	196,0 	375,5 	564,0 	38,4 	301,0 	0,250 	0,348 	0,806 	293,0 	2,5 	0,2740 	1,147E-01 	-6,731E-05 	1,591E-08 	437,94 	243,03 	-61,82	-32,76	16,0031 	2934,87 	-62,25 	410	275	0,000 	0,00 	0,000 	0,000 	8000
214	METHYL ISOPROPYL KETONE	86,134 	181,0 	367,4 	553,4 	38,0 	310,0 	0,259 	0,349 	0,803 	293,0 	2,8 	-0,6960 	1,192E-01 	-7,009E-05 	1,592E-08 	0,00 	0,00 	0	0	14,1779 	1993,12 	-103,20 	406	271	0,000 	0,00 	0,000 	0,000 	7320
215	DIETHYL KETONE	86,134 	234,2 	375,1 	561,0 	36,9 	336,0 	0,269 	0,347 	0,814 	293,0 	2,7 	7,1680 	9,409E-02 	-4,554E-05 	8,115E-09 	409,17 	236,65 	-61,82	-32,33	16,8138 	3410,51 	-40,15 	400	275	111,200 	-9773,63 	-13,260 	4,730 	8060
216	N-VALERIC ACID	102,134 	239,0 	458,7 	651,0 	38,0 	340,0 	0,240 	0,616 	0,939 	293,0 	0,0 	3,1980 	1,202E-01 	-7,001E-05 	1,581E-08 	729,09 	341,13 	-117,2	-85,37	17,6306 	4092,15 	-86,55 	495	350	0,000 	0,00 	0,000 	0,000 	11900
217	ISOBUTYL FORMATE	102,134 	178,0 	371,6 	551,0 	38,3 	350,0 	0,296 	0,390 	0,885 	293,0 	1,9 	4,7410 	9,634E-02 	-3,431E-05 	-1,768E-09 	0,00 	0,00 	0	0	16,2292 	2980,47 	-64,15 	409	278	58,420 	-6314,51 	-5,879 	4,410 	8170
218	N-PROPYL ACETATE	102,134 	178,0 	374,8 	549,4 	32,9 	345,0 	0,252 	0,392 	0,887 	293,0 	1,8 	3,6830 	1,075E-01 	-4,027E-05 	-3,437E-09 	489,53 	255,83 	-111,31	0	16,2291 	2980,47 	-64,15 	410	280	69,656 	-7028,88 	-7,475 	5,100 	8170
219	ETHYL PROPIONATE	102,134 	199,3 	273,0 	546,0 	33,2 	345,0 	0,256 	0,395 	0,895 	289,0 	1,8 	4,7420 	9,636E-02 	-3,432E-05 	-1,768E-09 	463,31 	248,72 	-112,3	-77,32	16,1620 	2935,11 	-64,17 	396	276	67,631 	-6869,83 	-7,193 	4,980 	8180
220	METHYL BUTYRATE	102,134 	188,4 	275,8 	554,4 	34,3 	340,0 	0,257 	0,382 	0,898 	293,0 	1,7 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	479,35 	254,66 	0	0	0,0000 	0,00 	0,00 	0	0	65,898 	-6819,11 	-6,941 	4,980 	8145
221	METHYL ISOBUTYRATE	102,134 	185,4 	365,4 	540,8 	33,9 	339,0 	0,259 	0,367 	0,891 	293,0 	2,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	451,21 	246,09 	0	0	0,0000 	0,00 	0,00 	0	0	66,160 	-6637,51 	-7,016 	4,790 	7974
222	PIPERIDINE	85,150 	262,7 	379,7 	594,0 	47,0 	289,0 	0,280 	0,250 	0,862 	293,0 	1,2 	-12,6750 	1,502E-01 	-8,020E-05 	1,535E-08 	772,79 	313,49 	11,71	0	16,1004 	3015,46 	-61,15 	416	280	0,000 	0,00 	0,000 	0,000 	8180
223	N-PENTANE	72,151 	143,4 	309,2 	469,6 	33,3 	304,0 	0,262 	0,251 	0,626 	293,0 	0,0 	-0,8660 	1,164E-01 	-6,163E-05 	1,267E-08 	313,66 	182,45 	-35	-2	15,8333 	2477,07 	-39,94 	330	220	56,682 	-4827,08 	-5,313 	3,680 	61,6
224	2-METHYL BUTANE	72,151 	113,3 	301,0 	460,4 	33,4 	306,0 	0,271 	0,227 	0,620 	293,0 	0,1 	-2,2750 	1,210E-01 	-6,519E-05 	1,367E-08 	367,32 	191,58 	-36,92	-3,54	15,6338 	2348,67 	-40,05 	322	216	50,428 	-4565,64 	-5,021 	3,550 	5900
225	2,2-DIMETHYL PROPANE	72,151 	256,6 	282,6 	433,8 	31,6 	303,0 	0,269 	0,197 	0,591 	293,0 	0,0 	-3,9630 	1,326E-01 	-7,897E-05 	1,823E-08 	355,54 	196,35 	-39,67	-3,64	15,2069 	2034,15 	-45,37 	305	260	49,600 	-4213,21 	-4,977 	3,310 	5438
226	1-PENTANOL	88,150 	195,0 	411,0 	586,0 	38,0 	326,0 	0,260 	0,580 	0,815 	293,0 	1,7 	0,9240 	1,205E-01 	-6,304E-05 	1,223E-08 	1151,10 	349,62 	-71,4	-34,9	16,5270 	3026,89 	-105,00 	411	310	0,000 	0,00 	0,000 	0,000 	10600
227	2-METHYL-1-BUTANOL	88,150 	203,0 	409,1 	571,0 	38,0 	322,0 	0,260 	0,700 	0,819 	293,0 	0,0 	-2,2665 	1,356E-01 	-8,315E-05 	2,063E-08 	1259,40 	349,85 	-72,3	-39,58	16,2708 	2752,19 	-116,30 	402	307	0,000 	0,00 	0,000 	0,000 	10800
228	3-METHYL-1-BUTANOL	88,150 	156,0 	404,4 	579,5 	38,0 	329,0 	0,260 	0,580 	0,810 	293,0 	1,8 	-2,2790 	1,357E-01 	-8,323E-05 	2,066E-08 	1148,80 	349,51 	-72,2	0	16,7127 	3026,43 	-104,10 	426	298	0,000 	0,00 	0,000 	0,000 	10540
229	3-METHYL-2-BUTANOL	88,150 	264,4 	375,2 	545,0 	39,0 	319,0 	0,280 	0,500 	0,809 	293,0 	1,9 	-2,8870 	1,456E-01 	-1,004E-04 	2,934E-08 	1502,00 	336,75 	-78,8	-39,5	15,0113 	1988,08 	-137,80 	375	298	0,000 	0,00 	0,000 	0,000 	9700
230	2,2-DIMETHYL-1-PROPANOL	88,150 	327,0 	386,3 	549,0 	39,0 	319,0 	0,280 	0,000 	0,783 	327,0 	0,0 	2,9030 	1,289E-01 	-7,547E-05 	1,701E-08 	0,00 	0,00 	-70	-29,98	18,1336 	3694,96 	-65,00 	406	328	0,000 	0,00 	0,000 	0,000 	10300
231	ETHYL PROPYL ETHER	88,150 	146,4 	336,8 	500,6 	32,1 	0,0 	0,000 	0,331 	0,733 	293,0 	1,2 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	399,87 	213,39 	0	0	15,4539 	2423,41 	-62,28 	360	246	58,911 	-5663,85 	-6,100 	4,330 	7290
232	PERFLUOROBENZENE	186,056 	0,0 	353,4 	516,7 	32,6 	0,0 	0,000 	0,400 	0,000 	0,0 	0,0 	8,6600 	1,258E-01 	-1,086E-04 	3,477E-08 	0,00 	0,00 	-228,64	-210,18	16,1940 	2827,53 	-57,66 	390	270	74,686 	-6815,04 	-8,318 	5,310 	0
233	PERFLUOROCYCLOHEXANE	300,047 	0,0 	325,7 	457,2 	24,0 	0,0 	0,000 	0,000 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	13,9087 	1374,07 	-136,80 	400	280	119,200 	-8611,09 	-14,890 	6,040 	0
234	PERFLUORO-N-HEXANE	338,044 	186,0 	330,3 	451,7 	18,8 	442,0 	0,224 	0,730 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	15,8307 	2488,59 	-59,73 	330	270	90,505 	-7074,74 	-10,780 	7,330 	0
235	O-DICHLOROBENZENE	147,004 	256,1 	453,6 	697,3 	40,5 	360,0 	0,225 	0,272 	1,306 	293,0 	2,3 	-3,4160 	1,315E-01 	-1,078E-04 	3,414E-08 	554,35 	319,07 	7,16	19,76	16,2799 	3798,23 	-59,84 	483	331	0,000 	0,00 	0,000 	0,000 	9480
236	M-DICHLOROBENZENE	147,004 	248,4 	446,0 	684,0 	38,0 	359,0 	0,240 	0,260 	1,288 	293,0 	1,4 	-3,2460 	1,312E-01 	-1,076E-04 	3,408E-08 	402,20 	300,89 	6,32	18,78	16,8173 	4104,13 	-43,15 	475	326	0,000 	0,00 	0,000 	0,000 	9230
237	P-DICLOROBENZENE	147,004 	326,3 	447,3 	685,0 	39,0 	372,0 	0,260 	0,270 	1,248 	328,0 	0,0 	-3,4260 	1,322E-01 	-1,089E-04 	3,458E-08 	483,82 	312,03 	5,5	18,44	16,1135 	3626,83 	-64,64 	477	326	0,000 	0,00 	0,000 	0,000 	9270
238	BROMOBENZENE	157,010 	242,3 	429,3 	670,0 	44,6 	324,0 	0,263 	0,249 	1,495 	293,0 	1,5 	-6,8800 	1,278E-01 	-9,746E-05 	2,894E-08 	508,18 	302,42 	25,1	33,11	15,7972 	3313,00 	-67,71 	450	320	56,566 	-7005,23 	-5,548 	5,590 	0
239	CHLOROBENZENE 	112,559 	227,6 	404,9 	632,4 	44,6 	308,0 	0,265 	0,249 	1,106 	293,0 	1,6 	-8,0940 	1,345E-01 	-1,080E-04 	3,407E-08 	477,76 	276,22 	12,39	23,7	16,0676 	3295,12 	-55,60 	420	320	57,251 	-6684,47 	-5,686 	4,980 	8735
240	FLUOROBENZENE	96,104 	234,0 	358,5 	560,1 	44,9 	271,0 	0,265 	0,245 	1,024 	293,0 	1,4 	-9,2500 	1,354E-01 	-1,059E-04 	3,237E-08 	452,06 	252,89 	-27,86	-16,5	16,5487 	3181,78 	-37,59 	370	250	55,141 	-5819,21 	-5,489 	3,880 	0
241	IODOBENZENE	204,011 	241,8 	461,4 	721,0 	44,6 	351,0 	0,265 	0,246 	1,855 	277,0 	1,4 	-6,9920 	1,329E-01 	-1,077E-04 	3,447E-08 	565,72 	331,21 	38,85	44,88	16,1454 	3776,53 	-64,38 	470	290	57,691 	-7589,50 	-5,646 	6,460 	9440
242	BENZENE	78,114 	278,7 	353,3 	562,1 	48,3 	259,0 	0,271 	0,212 	0,885 	289,0 	0,0 	8,1010 	1,133E-01 	-7,206E-05 	1,703E-08 	545,64 	265,34 	19,82	30,99	15,9008 	2788,51 	-52,36 	377	280	52,100 	-5557,61 	-5,072 	3,610 	7352
243	PHENOL	94,113 	314,0 	455,0 	694,2 	60,5 	229,0 	0,240 	0,440 	1,059 	313,0 	1,6 	8,5610 	1,429E-01 	-1,153E-04 	3,647E-08 	1405,50 	370,07 	-23,03	7,86	16,4270 	3490,89 	-98,59 	481	345	72,558 	-9072,60 	7,516 	4,420 	10900
244	ANILINE	93,129 	267,0 	457,5 	699,0 	52,4 	270,0 	0,247 	0,382 	1,022 	293,0 	1,6 	9,6770 	1,525E-01 	-1,226E-04 	3,901E-08 	1074,60 	337,21 	20,76	39,84	16,6748 	3857,52 	-73,15 	500	340	65,881 	-8442,37 	-6,662 	5,180 	10000
245	4- METHYL PYRIDINE	93,129 	276,9 	418,5 	646,0 	44,0 	311,0 	0,260 	0,270 	0,955 	293,0 	0,0 	-4,1630 	1,166E-01 	-6,683E-05 	1,302E-08 	500,97 	285,50 	24,43	0	16,2143 	3409,40 	-62,65 	460	300	0,000 	0,00 	0,000 	0,000 	8950
246	1,5 HEXADIENE	82,146 	132,0 	332,6 	507,0 	34,0 	328,0 	0,260 	0,160 	0,692 	293,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	20	0	16,1351 	2728,54 	45,45 	350	282	0,000 	0,00 	0,000 	0,000 	6561
